ZT_ORI;ZT_DES;TARIFA
1;1;0
1;2;400
1;3;450
1;4;460
1;5;480
1;6;480
1;7;490
1;8;770
1;9;820
1;10;830
1;11;860
1;12;480
1;13;640
1;14;600
2;1;400
2;2;0
2;3;420
2;4;450
2;5;460
2;6;470
2;7;480
2;8;760
2;9;770
2;10;770
2;11;800
2;12;470
2;13;580
2;14;570
3;1;450
3;2;420
3;3;0
3;4;400
3;5;450
3;6;450
3;7;460
3;8;720
3;9;720
3;10;740
3;11;770
3;12;450
3;13;550
3;14;490
4;1;460
4;2;450
4;3;400
4;4;0
4;5;400
4;6;440
4;7;480
4;8;730
4;9;740
4;10;760
4;11;790
4;12;470
4;13;570
4;14;550
5;1;480
5;2;460
5;3;450
5;4;400
5;5;0
5;6;440
5;7;480
5;8;740
5;9;760
5;10;770
5;11;800
5;12;470
5;13;580
5;14;600
6;1;480
6;2;470
6;3;450
6;4;440
6;5;440
6;6;0
6;7;420
6;8;530
6;9;560
6;10;670
6;11;700
6;12;500
6;13;580
6;14;600
7;1;490
7;2;480
7;3;460
7;4;480
7;5;480
7;6;420
7;7;0
7;8;490
7;9;510
7;10;530
7;11;560
7;12;510
7;13;590
7;14;610
8;1;770
8;2;760
8;3;720
8;4;730
8;5;740
8;6;530
8;7;490
8;8;0
8;9;360
8;10;440
8;11;470
8;12;790
8;13;870
8;14;870
9;1;820
9;2;770
9;3;720
9;4;740
9;5;760
9;6;560
9;7;510
9;8;360
9;9;0
9;10;350
9;11;380
9;12;800
9;13;920
9;14;870
10;1;830
10;2;770
10;3;740
10;4;760
10;5;770
10;6;670
10;7;530
10;8;440
10;9;350
10;10;0
10;11;370
10;12;800
10;13;930
10;14;890
11;1;860
11;2;800
11;3;770
11;4;790
11;5;800
11;6;700
11;7;560
11;8;470
11;9;380
11;10;370
11;11;0
11;12;830
11;13;960
11;14;920
12;1;480
12;2;470
12;3;450
12;4;470
12;5;470
12;6;500
12;7;510
12;8;790
12;9;800
12;10;800
12;11;830
12;12;0
12;13;500
13;1;640
13;2;580
13;3;550
13;4;570
13;5;580
13;6;580
13;7;590
13;8;870
13;9;920
13;10;930
13;11;960
13;12;500
13;13;0
14;1;600
14;2;570
14;3;490
14;4;550
14;5;600
14;6;600
14;7;610
14;8;870
14;9;870
14;10;890
14;11;920
14;14;0
